,datetime,open,high,low,close
0,2025-07-01 01:30:00,107751.68,107787.05,106944.55,107173.21
1,2025-07-01 05:30:00,107173.21,107579.3,107062,107221.44
2,2025-07-01 09:30:00,107221.44,107248.24,106659.96,107212.88
3,2025-07-01 13:30:00,107212.89,107212.89,106310.18,106639.08
4,2025-07-01 17:30:00,106639.94,107246.53,105635.14,105986.38
5,2025-07-01 21:30:00,105986.38,106334.96,105361.49,105403.99
6,2025-07-02 01:30:00,105403.27,106127.32,105262,105711.78
7,2025-07-02 05:30:00,105711.77,106240.1,105119.7,106229.67
8,2025-07-02 09:30:00,106229.66,107235,106151.43,107126.85
9,2025-07-02 13:30:00,107132.17,107902.41,107116.9,107512.04
10,2025-07-02 17:30:00,107512.04,108800,107211.14,108800
11,2025-07-02 21:30:00,108797.47,109823.08,108707.09,109755.27
12,2025-07-03 01:30:00,109755.27,109771.57,108772.8,108888.32
13,2025-07-03 05:30:00,108887.03,109162.58,108574.31,108688.4
14,2025-07-03 09:30:00,108688.4,109600,108615.05,109322.3
15,2025-07-03 13:30:00,109322.31,110300,109322.31,109625.99
16,2025-07-03 17:30:00,109625.99,110590,108769.08,109162.22
17,2025-07-03 21:30:00,109162.22,109961.19,109050,109834.12
18,2025-07-04 01:30:00,109834.12,110040,109572.16,109628.83
19,2025-07-04 05:30:00,109628.83,109812.94,109142.99,109284.22
20,2025-07-04 09:30:00,109284.23,109386.14,108750,108750
21,2025-07-04 13:30:00,108750,109158.94,108500,108936.73
22,2025-07-04 17:30:00,108936.72,109018.6,107534.11,107606.44
23,2025-07-04 21:30:00,107606,108004.99,107268.84,107493.54
24,2025-07-05 01:30:00,107490.69,108314.05,107459.77,108028.6
25,2025-07-05 05:30:00,108028.6,108316.5,107783.1,108187.38
26,2025-07-05 09:30:00,108187.38,108454.19,108041.76,108110.18
27,2025-07-05 13:30:00,108110.17,108271.98,107914.58,108152.24
28,2025-07-05 17:30:00,108152.24,108273.33,108001.41,108103.3
29,2025-07-05 21:30:00,108103.3,108222.46,107900,108180.64
30,2025-07-06 01:30:00,108180.64,108285.12,108027,108246.65
31,2025-07-06 05:30:00,108246.66,108302.49,108044,108086.43
32,2025-07-06 09:30:00,108086.43,108263.96,107979.45,108081.97
33,2025-07-06 13:30:00,108081.97,108157.31,107837.7,108110.69
34,2025-07-06 17:30:00,108110.69,109153.97,108086,108944.6
35,2025-07-06 21:30:00,108944.59,108993.38,108307.87,108570.58
36,2025-07-07 01:30:00,108571.83,109736.64,108562.16,109217.98
37,2025-07-07 05:30:00,109217.98,109741.64,108683.4,109426.67
38,2025-07-07 09:30:00,109426.67,109481.11,108657.35,109087.74
39,2025-07-07 13:30:00,109086.78,109111.77,108585,108656.34
40,2025-07-07 17:30:00,108654.17,108675.81,107961.97,108309.93
41,2025-07-07 21:30:00,108309.93,108529.26,107507,108058.12
42,2025-07-08 01:30:00,108053.62,108327,107800.87,108269.84
43,2025-07-08 05:30:00,108271.49,108556.13,107438.33,107905.48
44,2025-07-08 09:30:00,107905.48,108509.62,107750.08,108506.19
45,2025-07-08 13:30:00,108506.19,109031.21,108229.67,108774.04
46,2025-07-08 17:30:00,108774.02,109255.99,108218.13,108278.82
47,2025-07-08 21:30:00,108278.82,109200,108092.88,108781.37
48,2025-07-09 01:30:00,108783.78,109040,108624.63,108958.04
49,2025-07-09 05:30:00,108953.58,109179.85,108354.82,108378.76
50,2025-07-09 09:30:00,108378.76,108954.91,108329.87,108738.16
51,2025-07-09 13:30:00,108735.7,109147.08,108568,109085.02
52,2025-07-09 17:30:00,109085.01,109795.01,108500,109086.77
53,2025-07-09 21:30:00,109086.78,112152.91,109041.91,111792
54,2025-07-10 01:30:00,111792,111980.31,110592.17,111282.85
55,2025-07-10 05:30:00,111282.84,111620.8,110922.25,111114.62
56,2025-07-10 09:30:00,111114.61,111500,111000,111272.74
57,2025-07-10 13:30:00,111272.74,111450,110909.91,111076.74
58,2025-07-10 17:30:00,111076.74,111500,110541.87,111485.5
59,2025-07-10 21:30:00,111485.48,113923.99,111395.16,113399.95
60,2025-07-11 01:30:00,113404.43,116842,113361.33,116031.3
61,2025-07-11 05:30:00,116031.29,116982.73,115211.74,116930.12
62,2025-07-11 09:30:00,116921.91,118442.88,116511.45,117601.25
63,2025-07-11 13:30:00,117601.48,118909.74,117601.48,117839.32
