,datetime,open,high,low,close
0,2026-01-01 01:30:00,87391.02,87739.29,87082.64,87497.94
1,2026-01-01 05:30:00,87497.95,87950.53,87456.1,87696.53
2,2026-01-01 09:30:00,87696.53,87704,87361.74,87471.99
3,2026-01-01 13:30:00,87471.98,87889.19,87466.37,87883.74
4,2026-01-01 17:30:00,87883.75,88000,87694.66,87915.23
5,2026-01-01 21:30:00,87915.24,88398,87761.06,88275.99
6,2026-01-02 01:30:00,88276,88798.99,88126.82,88738.34
7,2026-01-02 05:30:00,88742,89024.49,88272.08,88840.02
8,2026-01-02 09:30:00,88840.02,88978.22,88458.5,88758.22
9,2026-01-02 13:30:00,88758.23,89831.42,88673.49,89411.99
10,2026-01-02 17:30:00,89411.98,90100,88375,89352.02
11,2026-01-02 21:30:00,89352.03,90935.22,88761,89844.04
12,2026-01-03 01:30:00,89854,90412.81,89573.04,89957.99
13,2026-01-03 05:30:00,89958,90389.99,89917.21,90293.58
14,2026-01-03 09:30:00,90293.58,90465,89284.13,89545.64
15,2026-01-03 13:30:00,89545.64,89954.71,89386.65,89700.01
16,2026-01-03 17:30:00,89700.01,90189.72,89607.59,89921.79
17,2026-01-03 21:30:00,89926,90176.4,89868.59,90080.13
18,2026-01-04 01:30:00,90080.13,90697,89974,90598.02
19,2026-01-04 05:30:00,90598.01,91568.08,90598.01,91193.98
20,2026-01-04 09:30:00,91193.98,91764.64,91152,91490.83
21,2026-01-04 13:30:00,91490.82,91580.78,91127.4,91274
22,2026-01-04 17:30:00,91269.08,91386.28,91000,91291.42
23,2026-01-04 21:30:00,91291.42,91419.12,90827.3,91101.9
24,2026-01-05 01:30:00,91101.89,91563.62,91088.88,91494
25,2026-01-05 05:30:00,91489.03,93343.89,91479.28,92841.41
26,2026-01-05 09:30:00,92841.41,92945.24,92100.88,92478.02
27,2026-01-05 13:30:00,92478.03,93127.36,92274,93094
28,2026-01-05 17:30:00,93094.01,93999.99,92338,93947.6
29,2026-01-05 21:30:00,93947.6,94529.99,93242.97,94296.02
30,2026-01-06 01:30:00,94296.02,94825.27,93809.4,93870.06
31,2026-01-06 05:30:00,93870.06,94175.38,93520.01,93747.38
32,2026-01-06 09:30:00,93747.38,94000,93100.01,93212.74
33,2026-01-06 13:30:00,93212.74,93881.51,93134.94,93830
34,2026-01-06 17:30:00,93830.01,94439.63,93305.06,93621.84
35,2026-01-06 21:30:00,93621.84,93754.35,91203.13,92040.91
36,2026-01-07 01:30:00,92040.91,93793.92,92040.91,93722.01
37,2026-01-07 05:30:00,93722.01,93722.01,92181.99,92760.01
38,2026-01-07 09:30:00,92760.02,92890.58,92440.81,92822.38
39,2026-01-07 13:30:00,92822.38,92917.2,91518.63,92013.08
40,2026-01-07 17:30:00,92007.2,92209.68,90924.85,91258.01
41,2026-01-07 21:30:00,91264,91715.99,90576.24,91065.29
42,2026-01-08 01:30:00,91075.41,91391.3,90653.83,91279.73
43,2026-01-08 05:30:00,91279.73,91580.01,90500.76,90702
44,2026-01-08 09:30:00,90702,91080,89515.78,90408
45,2026-01-08 13:30:00,90415.5,90657.7,89656.5,90097.8
46,2026-01-08 17:30:00,90097.8,90766.14,89200,90690
47,2026-01-08 21:30:00,90690.02,91403.97,90193.01,90856.97
48,2026-01-09 01:30:00,90856.96,91425,90481.66,91026
49,2026-01-09 05:30:00,91024.01,91551.78,90750.04,91119.49
50,2026-01-09 09:30:00,91119.5,91141.5,90626.82,90642
51,2026-01-09 13:30:00,90640.58,90741.08,89583.58,90348.09
52,2026-01-09 17:30:00,90348.09,91944.52,89735.11,91096
53,2026-01-09 21:30:00,91094.51,91745.55,90064.43,90217.89
54,2026-01-10 01:30:00,90217.88,90587.83,90000,90515.45
55,2026-01-10 05:30:00,90515.12,90650,90375.99,90503.51
56,2026-01-10 09:30:00,90503.49,90557.68,90280,90543.77
57,2026-01-10 13:30:00,90543.77,90698,90489.77,90614.02
58,2026-01-10 17:30:00,90614.03,90672.03,90415.77,90536.87
59,2026-01-10 21:30:00,90536.87,90620.56,90380.53,90509.92
60,2026-01-11 01:30:00,90509.93,90545.57,90251.43,90385.54
61,2026-01-11 05:30:00,90387.36,90624.99,90324.8,90618.85
62,2026-01-11 09:30:00,90618.85,90734.42,90472.74,90585.96
63,2026-01-11 13:30:00,90585.96,90695.48,90491.93,90621.85
64,2026-01-11 17:30:00,90626.99,91067.94,90582,90751.56
65,2026-01-11 21:30:00,90751.56,91173.12,90537.01,90553.91
66,2026-01-12 01:30:00,90554,90923.52,90109,90872.01
67,2026-01-12 05:30:00,90878.51,92406.3,90562.92,91677.99
68,2026-01-12 09:30:00,91678,92166.46,91255,91277.59
69,2026-01-12 13:30:00,91277.58,91505.64,90234,90495.27
70,2026-01-12 17:30:00,90495.2,91596.42,90003.46,91579.72
71,2026-01-12 21:30:00,91577.04,92257.47,90944.26,91784.13
72,2026-01-13 01:30:00,91784.13,91981.1,90852.79,91188.09
73,2026-01-13 05:30:00,91188.08,91453.66,90925.17,91310.01
74,2026-01-13 09:30:00,91310.01,92188,91236,91837.19
75,2026-01-13 13:30:00,91842.01,92590,91831.08,91895.69
76,2026-01-13 17:30:00,91900,93432.69,91681.16,93425.99
77,2026-01-13 21:30:00,93425.94,94242.89,93037.87,94230.01
78,2026-01-14 01:30:00,94232.94,96250,93926.09,95384.23
79,2026-01-14 05:30:00,95385.59,95691.95,95085.51,95683.13
80,2026-01-14 09:30:00,95683.14,95759.8,94518.63,95186.89
81,2026-01-14 13:30:00,95186.9,95298.66,94687.22,94756.03
82,2026-01-14 17:30:00,94755.02,97112.51,94634,96770.01
83,2026-01-14 21:30:00,96772.01,97843.91,96211.99,97273.44
84,2026-01-15 01:30:00,97275.78,97963.62,96793.2,96955.16
85,2026-01-15 05:30:00,96954.02,97015.41,95742,95950
86,2026-01-15 09:30:00,95950,96737.34,95915.45,96616.13
87,2026-01-15 13:30:00,96617.7,97176.42,96272,96562.02
88,2026-01-15 17:30:00,96562.01,97139.7,95400.01,96690.95
89,2026-01-15 21:30:00,96682.49,97041.95,95165.01,95464.9
