,datetime,open,high,low,close
0,2026-01-01 00:00:00,87814.33,87821.65,87534.24,87554.16
1,2026-01-01 00:30:00,87554,87738.53,87523.53,87597.93
2,2026-01-01 01:00:00,87597.93,87605.96,87373.37,87391.02
3,2026-01-01 01:30:00,87391.02,87409.28,87264.42,87336
4,2026-01-01 02:00:00,87335.99,87566.96,87082.64,87523.98
5,2026-01-01 02:30:00,87515.28,87638.98,87492.97,87610
6,2026-01-01 03:00:00,87610.01,87734.31,87584.67,87649.5
7,2026-01-01 03:30:00,87647.99,87739.29,87611.89,87707.82
8,2026-01-01 04:00:00,87707.82,87711.93,87502.71,87591.31
9,2026-01-01 04:30:00,87590,87593.66,87458.81,87522
10,2026-01-01 05:00:00,87522,87548.75,87478.66,87497.94
11,2026-01-01 05:30:00,87497.95,87662,87456.1,87613.06
12,2026-01-01 06:00:00,87613.33,87699.01,87544.22,87650.01
13,2026-01-01 06:30:00,87650,87897.99,87642.2,87717.61
14,2026-01-01 07:00:00,87717.61,87859.98,87668.35,87796.09
15,2026-01-01 07:30:00,87796.09,87942.93,87725.4,87795.83
16,2026-01-01 08:00:00,87795.83,87950.53,87666.89,87753.11
17,2026-01-01 08:30:00,87754.42,87865.39,87720.76,87769.28
18,2026-01-01 09:00:00,87769.27,87799.99,87667.26,87696.53
19,2026-01-01 09:30:00,87696.53,87704,87382.95,87459.99
20,2026-01-01 10:00:00,87459.96,87502.54,87361.74,87418.55
21,2026-01-01 10:30:00,87418.55,87565,87416.03,87543.84
22,2026-01-01 11:00:00,87543.83,87580.49,87477.5,87534.01
23,2026-01-01 11:30:00,87534.02,87536.03,87460.25,87495.13
24,2026-01-01 12:00:00,87495.12,87517.99,87465.42,87493.28
25,2026-01-01 12:30:00,87491.71,87517.68,87437.99,87449.98
26,2026-01-01 13:00:00,87449.98,87523.23,87449.98,87471.99
27,2026-01-01 13:30:00,87471.98,87652.77,87466.37,87580.81
28,2026-01-01 14:00:00,87580.81,87625.52,87534.38,87617.55
29,2026-01-01 14:30:00,87617.54,87818.28,87596.3,87691.99
30,2026-01-01 15:00:00,87691.99,87762.11,87674.37,87744
31,2026-01-01 15:30:00,87743.99,87751.15,87650.75,87715.4
32,2026-01-01 16:00:00,87715.44,87742.93,87688.4,87723.72
33,2026-01-01 16:30:00,87723.71,87848.74,87714.45,87790.72
34,2026-01-01 17:00:00,87790.72,87889.19,87737.33,87883.74
35,2026-01-01 17:30:00,87883.75,87913.96,87813.17,87868.52
36,2026-01-01 18:00:00,87868.52,87868.52,87750.01,87812.44
37,2026-01-01 18:30:00,87812.44,87897.9,87758,87855.94
38,2026-01-01 19:00:00,87855.94,87878.29,87734.01,87792.65
39,2026-01-01 19:30:00,87792.65,87865.96,87705.69,87759.88
40,2026-01-01 20:00:00,87759.88,87857.07,87694.66,87844
41,2026-01-01 20:30:00,87844,87970.16,87806,87905.26
42,2026-01-01 21:00:00,87899.99,88000,87827.1,87915.23
43,2026-01-01 21:30:00,87915.24,87936.02,87761.06,87842.51
44,2026-01-01 22:00:00,87842.51,87886.2,87811.2,87878.48
45,2026-01-01 22:30:00,87879.99,88170.39,87843.72,88139.05
46,2026-01-01 23:00:00,88139.05,88398,88139.05,88199.49
47,2026-01-01 23:30:00,88199.5,88276.04,87984.38,87985.27
48,2026-01-02 00:00:00,87985.27,88093.84,87985.27,88073.44
49,2026-01-02 00:30:00,88073.44,88073.44,87943.57,88046.01
50,2026-01-02 01:00:00,88046,88315.4,88042.68,88275.99
51,2026-01-02 01:30:00,88276,88276,88181.93,88254.82
52,2026-01-02 02:00:00,88252.18,88252.18,88126.82,88144.99
53,2026-01-02 02:30:00,88144.99,88335.58,88138.63,88272.2
54,2026-01-02 03:00:00,88272.2,88293.69,88188.01,88278
55,2026-01-02 03:30:00,88278,88491.78,88277.99,88418.99
56,2026-01-02 04:00:00,88419,88581.21,88316.25,88528.02
57,2026-01-02 04:30:00,88528.01,88676,88325.58,88618.29
58,2026-01-02 05:00:00,88618.29,88798.99,88618.29,88738.34
59,2026-01-02 05:30:00,88742,88772,88475.14,88602.16
60,2026-01-02 06:00:00,88602.01,88787.85,88531.3,88734.11
61,2026-01-02 06:30:00,88734.11,88778.97,88577.04,88584.4
62,2026-01-02 07:00:00,88584.39,88600.51,88387.4,88542.3
63,2026-01-02 07:30:00,88542.48,88567.78,88272.08,88323.99
64,2026-01-02 08:00:00,88323.99,88541.28,88307.91,88539.99
65,2026-01-02 08:30:00,88540,88874,88462.89,88776.02
66,2026-01-02 09:00:00,88776.02,89024.49,88740.01,88840.02
67,2026-01-02 09:30:00,88840.02,88902.11,88585.55,88642.86
68,2026-01-02 10:00:00,88642.87,88735.07,88520.01,88532.01
69,2026-01-02 10:30:00,88531.22,88654,88465.59,88473.67
70,2026-01-02 11:00:00,88473.66,88688.2,88458.5,88656.48
71,2026-01-02 11:30:00,88656.48,88822.49,88620,88811.99
72,2026-01-02 12:00:00,88811.99,88978.22,88790,88837.1
73,2026-01-02 12:30:00,88837.11,88967.78,88752.63,88794.69
74,2026-01-02 13:00:00,88794.69,88818.48,88724.75,88758.22
75,2026-01-02 13:30:00,88758.23,89008.6,88673.49,88954.57
76,2026-01-02 14:00:00,88954.57,89080,88909.99,89056
77,2026-01-02 14:30:00,89057.7,89200,88992.9,89040.45
78,2026-01-02 15:00:00,89044,89378.23,89000,89371.99
79,2026-01-02 15:30:00,89372,89831.42,89344,89505.04
80,2026-01-02 16:00:00,89505.05,89664.86,89499.99,89588.43
81,2026-01-02 16:30:00,89588.42,89588.42,89256.28,89284
82,2026-01-02 17:00:00,89285.21,89492.48,89278.05,89411.99
83,2026-01-02 17:30:00,89411.98,89512,89291.33,89382.01
84,2026-01-02 18:00:00,89380.03,89475.42,89305.63,89316.01
85,2026-01-02 18:30:00,89316.01,89628.03,89290.6,89479.99
86,2026-01-02 19:00:00,89481.06,89516.04,89229.44,89280.28
87,2026-01-02 19:30:00,89280.28,89324.5,88633.68,88823.95
88,2026-01-02 20:00:00,88818.01,90100,88375,89539.58
89,2026-01-02 20:30:00,89540.97,89824.9,88715,89065.24
90,2026-01-02 21:00:00,89065.23,89842.62,88989.56,89352.02
91,2026-01-02 21:30:00,89352.03,90128,89133.37,90009.15
92,2026-01-02 22:00:00,90009.14,90765.72,89841.74,90329
93,2026-01-02 22:30:00,90328.99,90935.22,90328,90570
94,2026-01-02 23:00:00,90570,90659.99,90102.3,90335.75
95,2026-01-02 23:30:00,90334,90533.32,90173.99,90264
96,2026-01-03 00:00:00,90264,90294.01,88761,89732.71
97,2026-01-03 00:30:00,89722.9,90121.76,89604,89900.01
98,2026-01-03 01:00:00,89900,90065.2,89790.31,89844.04
99,2026-01-03 01:30:00,89854,90067.69,89721.61,89840.01
100,2026-01-03 02:00:00,89840,89914.36,89573.04,89693.1
101,2026-01-03 02:30:00,89692.01,90006.99,89669.02,89941.26
102,2026-01-03 03:00:00,89941.26,90132.81,89828.13,90020
103,2026-01-03 03:30:00,90020.01,90288,89976,90084
104,2026-01-03 04:00:00,90084,90412.81,90026.26,90164
105,2026-01-03 04:30:00,90160.01,90174.8,89892,89917.75
106,2026-01-03 05:00:00,89919.99,89992,89847.14,89957.99
107,2026-01-03 05:30:00,89958,90139.99,89917.21,90056
108,2026-01-03 06:00:00,90056.01,90167.59,89995.11,90124.94
109,2026-01-03 06:30:00,90124.93,90209.02,90035.15,90038.22
110,2026-01-03 07:00:00,90038.22,90268.15,90036.9,90240.01
111,2026-01-03 07:30:00,90240.01,90240.01,90095.23,90231.77
112,2026-01-03 08:00:00,90231.78,90389.99,90192.79,90296.02
113,2026-01-03 08:30:00,90296.01,90330,90164,90187.53
114,2026-01-03 09:00:00,90187.52,90347.99,90164,90293.58
115,2026-01-03 09:30:00,90293.58,90465,90208.78,90214.83
116,2026-01-03 10:00:00,90214.82,90258.02,90012.28,90132.72
117,2026-01-03 10:30:00,90132.71,90177.81,89979.92,89989.41
118,2026-01-03 11:00:00,89989.4,90029.59,89884.98,90002
119,2026-01-03 11:30:00,90004.01,90105.1,89941,89953.74
120,2026-01-03 12:00:00,89953.74,90017.73,89809.58,89835.25
121,2026-01-03 12:30:00,89835.24,89920,89354.67,89386
122,2026-01-03 13:00:00,89386,89560,89284.13,89545.64
123,2026-01-03 13:30:00,89545.64,89795.36,89386.65,89707.99
124,2026-01-03 14:00:00,89707.99,89804,89618.94,89639.99
125,2026-01-03 14:30:00,89636.01,89823.99,89601.99,89783.34
126,2026-01-03 15:00:00,89776.01,89954.71,89736.56,89763.99
127,2026-01-03 15:30:00,89763.99,89782.18,89674.25,89756.01
128,2026-01-03 16:00:00,89756.01,89840,89713.18,89717.94
129,2026-01-03 16:30:00,89717.94,89742.7,89627.22,89671.02
130,2026-01-03 17:00:00,89671.02,89738.64,89636,89700.01
131,2026-01-03 17:30:00,89700.01,89734.24,89607.59,89733.03
132,2026-01-03 18:00:00,89733.03,89991.99,89692.01,89988.63
133,2026-01-03 18:30:00,89984.24,90004.99,89871.99,89916.01
134,2026-01-03 19:00:00,89916.01,90000,89890.94,89956.43
135,2026-01-03 19:30:00,89956.43,90183.69,89908,90127.15
136,2026-01-03 20:00:00,90127.16,90189.72,89978.99,90079.99
137,2026-01-03 20:30:00,90079.99,90079.99,89924.01,90019.07
138,2026-01-03 21:00:00,90016.01,90073.37,89908.78,89921.79
139,2026-01-03 21:30:00,89926,90045,89868.59,90016.21
140,2026-01-03 22:00:00,90016.22,90176.4,90016.22,90060.08
141,2026-01-03 22:30:00,90060.09,90087.99,89967.43,90017.85
142,2026-01-03 23:00:00,90017.85,90081,90008.07,90049.48
143,2026-01-03 23:30:00,90049.47,90155.99,89984.79,90131.15
144,2026-01-04 00:00:00,90131.15,90145.94,90067.72,90095
145,2026-01-04 00:30:00,90094.99,90106.39,90014.05,90098.47
146,2026-01-04 01:00:00,90098.47,90124.99,90029.31,90080.13
147,2026-01-04 01:30:00,90080.13,90085.23,89974,90079.4
148,2026-01-04 02:00:00,90079.4,90348.71,90079.4,90319.97
149,2026-01-04 02:30:00,90319.96,90448.26,90274.54,90428.84
150,2026-01-04 03:00:00,90428.84,90697,90416,90518.89
151,2026-01-04 03:30:00,90518.9,90687,90413.53,90579.48
152,2026-01-04 04:00:00,90579.47,90677.36,90454.72,90552.02
153,2026-01-04 04:30:00,90552.04,90640,90421.35,90596
154,2026-01-04 05:00:00,90596,90663,90572,90598.02
155,2026-01-04 05:30:00,90598.01,91568.08,90598.01,91060
156,2026-01-04 06:00:00,91060,91432,91001.06,91295.85
157,2026-01-04 06:30:00,91295.33,91453.62,91055,91097.34
158,2026-01-04 07:00:00,91096.01,91228.63,90965.77,91190.42
159,2026-01-04 07:30:00,91190.42,91265.8,91072.01,91172.92
160,2026-01-04 08:00:00,91172.91,91238.06,91039.21,91103.99
161,2026-01-04 08:30:00,91103.99,91342.43,91092.01,91128.03
162,2026-01-04 09:00:00,91128.03,91297.99,91050,91193.98
163,2026-01-04 09:30:00,91193.98,91463.46,91152,91334
164,2026-01-04 10:00:00,91333.99,91544,91324.62,91356.97
165,2026-01-04 10:30:00,91356.98,91445.44,91301.58,91412.01
166,2026-01-04 11:00:00,91412,91455.64,91317.43,91439.99
167,2026-01-04 11:30:00,91440.01,91764.64,91407.98,91504.01
168,2026-01-04 12:00:00,91504.01,91574,91191.87,91191.88
169,2026-01-04 12:30:00,91191.88,91349.3,91173.7,91276.12
170,2026-01-04 13:00:00,91276.12,91505.53,91276.12,91490.83
171,2026-01-04 13:30:00,91490.82,91505.9,91127.4,91201.95
172,2026-01-04 14:00:00,91201.95,91400,91201.95,91332.01
173,2026-01-04 14:30:00,91332,91414.01,91208.01,91284.95
174,2026-01-04 15:00:00,91284.95,91443.99,91284.94,91418
175,2026-01-04 15:30:00,91418.02,91562.92,91379.59,91444.82
176,2026-01-04 16:00:00,91444.82,91580.78,91426.01,91556.85
177,2026-01-04 16:30:00,91556.85,91556.85,91308.7,91348.98
178,2026-01-04 17:00:00,91348.08,91421.88,91203.7,91274
179,2026-01-04 17:30:00,91269.08,91312.8,91168.81,91303.61
180,2026-01-04 18:00:00,91303.61,91329.88,91052.02,91104.53
181,2026-01-04 18:30:00,91100.01,91186.63,91000,91164
182,2026-01-04 19:00:00,91164,91245.9,91113.24,91228.78
183,2026-01-04 19:30:00,91228.78,91386.28,91168,91201.88
184,2026-01-04 20:00:00,91201.87,91305.9,91102.51,91299.33
185,2026-01-04 20:30:00,91299.33,91340,91180.38,91208
186,2026-01-04 21:00:00,91210.17,91310.23,91053.36,91291.42
187,2026-01-04 21:30:00,91291.42,91419.12,91208.8,91304
188,2026-01-04 22:00:00,91304,91402.97,91247.87,91279.99
189,2026-01-04 22:30:00,91279.99,91400,91261.05,91336.19
190,2026-01-04 23:00:00,91336.2,91414.55,91300,91302.36
191,2026-01-04 23:30:00,91302.36,91308.1,91102.01,91141.26
192,2026-01-05 00:00:00,91141.26,91216.49,90938.97,91172.29
193,2026-01-05 00:30:00,91172.29,91179.99,90827.3,91090.31
194,2026-01-05 01:00:00,91090.32,91152,91016,91101.9
195,2026-01-05 01:30:00,91101.89,91309.99,91088.88,91302.09
196,2026-01-05 02:00:00,91302.09,91315,91221.99,91285.99
197,2026-01-05 02:30:00,91285.99,91392,91227.94,91276.81
198,2026-01-05 03:00:00,91276.81,91315,91145.6,91248.12
199,2026-01-05 03:30:00,91248.12,91365.8,91100,91249.31
